	Question
2625	if a perfectly spherical ball is sitting on a perfectly flat surface, what is the size of the contact area? would it not be infinitely small?
2626	if you cut a magnet in half many many times, will you eventually have an atom that has a north and south pole?
2627	what spoken language carries the most information per sound or time of speech?
2628	how do s orbital nodes work?
2629	viruses tend to affect a very limited variety of creatures and don't often jump to different species, why is rabies different?
2630	what would happen if you were hit by a beam from a particle accelerator?
2631	when you're struggling to stay awake, what is neurologically occurring in your head?
2632	are there any human bloods types that we know of, that no longer exist?
2633	if i put a camera in a completely dark room and took a 1 year exposure shot, would i get a photo of the outside?
2634	what is outside the observable universe? it it more stars and planets? or nothing?
2635	how effective are face masks in polluted areas?
2636	how many people would you need to self-sufficiently populate a planet without inbreeding being a problem?
2637	if earth had a second moon hidden exactly behind the moon, how would we know?
2638	how does a gps satellite handle all the requests from smart phones and other devices?
2639	why does rabies cause a fear of water?
2640	would any heavy metals such as mercury be found in fish naturally or is that caused entirely by human industrial waste?
2641	has folding@home really accomplished anything?
2642	when the brain receives a nerve signal from the skin, how does it differentiate between a heat signal, a cold signal, a pain signal, a pressure signal etc?
2643	what is the difference between each one of the happiness chemicals (dopamine, endorphins, serotonin, oxytocin)?
2644	if a person is right-handed, does such dominance include all voluntary muscles? for example, are the muscles in the larynx also somewhat right-dominant?
2645	has there been an optimal design for a fan or fan blade created yet? if so, why isn't it used in every application that requires a fan?
2646	is there a fundamental theory of mathematics?
2647	do other animals realise that our species is sentient?
2648	if certain animals can regenerate limbs (geckos tails, octopus tentacles, starfish, etc.), why isn't there focus on how these animals do this to try and figure out human organ/limb regeneration?
2649	is there anything in space we can see at two different times because of the bending of light on the way here? how much of a difference could be expected?
2650	is there a such thing as a perfect laser? do all lasers eventually lose their focus over a long distance? does the strength of a laser affect its accuracy?
2651	how do we know the temperature of the centre of the sun?
2652	is there a reason light travels so fast?
2653	if normal body temperature is 37 degrees celsius why does an ambient temperature of 37 feel hot instead of 'just right'?
2654	why do we have two nostrils, and not just one hole?
2655	if gravity "travels" as a wave, does it move at the speed of light?
2656	how fast does gravity work?
2657	does lacking certain nutrients makes you crave specific foods?
2658	what would be the implications if the existence of a magnetic monopole was found?
2659	why did superglue start to emit smoke,and get really hot, when a drop fall on my jeans?is that toxic?
2660	scientifically, what's the deal with music? why do humans interpret certain noises in specific patterns as "music" or "rhythm", and why is this a seemingly universal trait?
2661	is there any reason for the alphabet being in the order its in?
2662	how did we ever discover what the speed of light is?
2663	why is a 12v household battery virtually harmless, but a 12v car battery potentially deadly?
2664	where are alpha, beta, and gamma rays in the electromagnetic spectrum?
2665	can custom proteins be manufactured?
2666	hawking recently quoted ""although the chance of a disaster to planet earth in a given year may be quite low, it adds up over time, and becomes a near certainty in the next thousand or ten thousand years." do the chances of a disaster increase after not occurring for a long period of time?
2667	is a shadow like this possible in space?
2668	why does taking the sum and difference between two numbers and dividing by 2 find the minimum of the two numbers?
2669	why does artificially raising your heart rate (via caffeine or other substances) not act a substitute for cardiovascular exercise?
2670	last year, cern released 300 terabytes of large hadron collider data. why does particle physics use so much data?
2671	how deep into the earth have humans explored?
2672	what causes an ice age, and is it possible for us to have another one/when could the nearest one be?
2673	if a bat was on the phone, could it perceive the room on the other end using echolocation?
2674	how are the weight and volume of celestial bodies like stars or planets calculated?
2675	is there proof that wikipedia is a good encyclopedia?
2676	why can't we harvest energy from lightning?
2677	if we were to be plucked from the earth and put on a planet that is 2x gravity could we walk/adapt? what is the maximum gravity we could stand?
2678	is the earth pulled toward where the sun is now, or where the sun was 8 minutes ago?
2679	do parents in the animal kingdom still know who their children are, even when they have grown up?
2680	what do heavy metals really do to a person, and what does our body do to get rid of them?
2681	is a 'randomly' generated real number practically guaranteed to be transcendental?
2682	theoretical uses for antimatter?
2683	when a person observes light at the limits of the visible spectrum, what does the transition to uv or ir look like?
2684	if you have a single molecule of a substance, what state of matter is it in?
2685	what two creatures are most closely related genetically, but look the most different physically?
2686	"6 million years is not enough time to produce a human from a chimp-like ancestor." can you explain to me why this is false?
2687	does modern psychology find any scientific validity to the notion of personality types?
2688	why do we have a foreskin? why has circumcision originated in so many cultures?
2689	how does stephen hawking, and others with als keep their eyes open?
2690	new horizons just fired thrusters a few days ago to fine-tune its path toward pluto. how, exactly, did nasa know in what direction and for how long to make the short burn?
2691	are organelles inside cells actually colored?
2692	what's underneath the sand at the beach? how far does the sand go and what is beneath that?
2693	at the peak of infection if all cold or flu viruses could be taken out of the body and put into a cup, how much volume would they consume?
2694	why is there so much friction between glass and skin, although the surface of glass is so smooth?
2695	do different kinds of languages have different sounding gibberish's?
2696	does the body process nutrition differently if you eat over the course of the day rather than at three meals?
2697	according to wikipedia, we have no observational evidence for wormholes. where did the idea come from?
2698	if a person is unconscious on a spinning object, will they wake up dizzy or not?
2699	what happens a chimpanzee baby is raised by bonobos? and vice versa? will they adapt to their new societies? can chimpanzees cross breed with bonobos?
2700	are kissing and hugging innate human practices, or are they learned/cultural?
2701	do taller / bigger people live shorter lives the way great danes live shorter lives comparative to other dogs?
2702	why is greenland almost fully glaciated while most of northern canada is not at same latitude?
2703	is it possible to start a fire with superheated steam?
2704	would i still feel like i'm drowning if i was underwater and attached to an oxygenated blood supply?
2705	how does a keygen generator actually come up with a valid registration key?
2706	why is deuterium six times more abundant in the earth than in jupiter and the rest of the universe?
2707	at what altitude do compasses cease to work?
2708	why is the speed of light expressed as 'c'?
2709	is it pure coincidence that the rotation rates of mars and earth are both 24 hours (-4 & +39 min)?
2710	how is it white matter injuries to the brain are reversible, while gray matter is not?
2711	my wife is convinced that the full-body scanners that are now being used in some airports cause cancer, and thus refuses to use them. what is the evidence for or against this?
2712	is there a formula for predicting stable isotopes?
2713	how do computers do math?
2714	if a child is born premature, do they develop as if they were still in the womb?
2715	has googles "go" ai figured out a way to solve np problems?
2716	does probability still exist if the results are already determined?
2717	are researchers who work with viruses like hiv at risk for infection? if so, how do they safeguard themselves against it?
2718	why do electron orbitals in the molecular orbital theory form in those specific shapes? or, in real life, why does the electron do what the math of the wave function describes?
2719	this coconut oil melted during a heat wave and later re-solidified. why did it form this honeycomb structure?
2720	mars rover opportunity was built to last 90 days, and lasted 15 years. voyager aircrafts were built for five year mission and lasted 41 years. please explain if these crafts were over-designed or nasa just got lucky?
2721	on the anniversary of the first atomic bomb test, how did they know how far to stand from it?
2722	can you solve a rubik's cube by repeating a particular set of moves forever?
2723	biology: do snakes/fish/limbless animals have handedness?
2724	is it possible to focus natural light into a high density solar beam with modern technology?
2725	why is the area around where a laser has been pointed, really blurry?
2726	what animal produces the most-developed offspring, that is closest to their adult form at birth in terms of size, proportions, and abilities?
2727	if unexposed to sex their entire lives, would two humans (male and female) instinctually know how to have sex?
2728	why has no satellite ever been put into lunar orbit at an extremely low altitude, like a couple miles above the highest landmark?
2729	would a nuclear detonation on a polar ice cap drastically speed up global warming? why / why not?
2730	why can't we just stick tons of wind turbines and solar panels in inhabitable places for extra, clean energy?
2731	how can nuclear reactors work without steam?
2732	is it likely there will eventually be a universal language on earth?
2733	why is the effect of tinnitus a high pitched ring instead of a low hum or any other sound effect?
2734	do boats play a part in ocean levels?
2735	is antarctica 'straddling' the south pole by continental drift coincidence, or is the spin of the earth balancing it's position somehow?
2736	is it better for a computer to never turn it off, or to turn it off regularly?
2737	if i could flap my arms super fast, could i fly/hover around like an insect?
2738	if i was trying to heat a room using a dozen candles, would it be better to group them all together in the center of the room, or evenly throughout the room?
2739	if m/s is velocity, and m/s^2 is acceleration, is there a m/s^3, m/s^4, and so on? and if so what are they?
2740	let's say sperm a fertilized with my mother's egg. would i look different if sperm b had met up with the egg?
2741	is it possible to feel "high" without using drugs?
2742	is your belly button connected to anything on the inside? and if so, will it be "anchored" in the same spot if you gain weight?
2743	if electricity from wall outlets is ac, how come some plugs have a left-right orientation?
2744	what is the difference between animals that are made of colonies of smaller organisms and animals that are not?
2745	if i was floating in the vacuum of space and i threw a credit card or a rock by me, would it orbit around me like a moon?
2746	what are the main complications stopping us from using nuclear fusion?
2747	i've heard that einstein's equation of relativity, e=mc2, is not the full equation in some cases. can someone explain when this is not the entire equation, along with how it is used?
2748	in math, is the order of operations arbitrary? meaning is there a real reason x and / comes before + and -, or is that just the order we decided and as long as the operations are consistent and that's what really matters?
2749	does counting "one-one thousand, two-one thousand..." after seeing a flash of lightning until you hear thunder actually give you a good estimate how far away you are from the flash?
2750	what physical characteristic allows gold/silver coins to "ping"/resonate when struck while coins made from other metals with the same crystal structure do not?
2751	can space-time warp in such a way as to allow me to start a journey and then return as my mirror image?
2752	is there an infinite number of wavelengths on the em spectrum between 2 wavelengths?
2753	has the internet and social media increased the prevalence of attention seeking disorders such as munchhausen's syndrome by proxy or histrionic personality disorder?
2754	there are thousands of pigeons in central london. they don't seem to be eaten by birds of prey. what's preventing predation?
2755	are there ways to find caves with no real entrances and how common are these caves?
2756	did nasa nuke saturn?
2757	what will double the energy do for the large hadron collider?
2758	why does a muscle get stronger?
2759	which organisms have a high ratio of mature mass to sperm+egg/seed/starting mass? does this tell us anything useful?
2760	if two self-driving cars are on the road next to each other, and their ultrasonic sensors are projecting the same frequency, would the data become muddled? how can the manufacturers account for this?
2761	if one parent had a gamete that was missing a chromosome (turners syndrome) and the other parent had a gamete with an extra chromosome (down's syndrome), would they be able to form a normal healthy baby?
2762	why are newton's formulas considered laws, and einsteins formulas considered theories?
2763	would humans be able to survive in the atmospheric conditions of the paleozoic or mesozoic eras?
2764	do neutrons bound to stable atoms decay the same way protons do over long timescales?
2765	as i only have two ears, why am i able to distinguish a sound coming from a source in front of me from one coming from a source behind me?
2766	why does writhing help alleviate pain?
2767	eili5: the movies have space ships/stations with artificial gravity by means of centrifugal forces...would that really work?
2768	when clown-fish change gender, what actually happens to them?
2769	can anybody explain why adding salt to a soft drink causes it to bubble and decarbonate?
2770	how much of sleep is actual maintenance downtime, and how much is just time-killing energy conservation?
2771	how does the human body measure temperature?
2772	why are there 360 degrees in a circle?
2773	does an atom bomb really work by splitting the atom? and if so why doesn't that explosion split other atoms around it and create a gigantic chain reaction?
2774	how much variation is there in the "220 minus your age" rule-of-thumb for max heart rate?
2775	why are tsunamis wave heights measured/described as being much taller than they actually seem to be?
2776	when we smash glass, does the crack travel outwards from impact, or does it crack instantaneously?
2777	who is more genetically similar to you, your sibling or offspring?
2778	discoveries at the lhc besides the higgs boson?
2779	does the force of gravity travel at c?
2780	if light emits a significantly minute force, how much light would it take to crush a human?
2781	if somebody had an eye transplant, would they see colors differently?
2782	do we know as a fact that the bottom of the mariana trench is absolutely the deepest point in the ocean?
2783	how come there is no cancer of the muscle or the heart?
2784	is the gas in your joints that gets popped when cracking your knuckles the same one that you have to worry about when diving?
2785	according to the theory earth's magnetic poles flip about every 450,000 years known as " geomagnetic reversal", if earth's magnetic field is due to rotating molten iron in our core, does it mean the magma starts to rotate immediately in opposite direction at that time?
2786	in the martian, mark watley explains how to make water. is the process he explained in the movie an actual way to make water?
2787	do women who have their babies through a surrogate mother still risk the chance of postnatal depression or does it rely on the woman having the child herself?
2788	would an immunodeficiency decrease or increase the risk of a patient getting cancer?
2789	do the halal and kosher methods of animal slaughter increase or reduce the suffering of the animals (in comparison with stunning/conventional slaughter)?
2790	why did the space shuttle have a roll maneuver, as opposed to just launching in the right orientation?
2791	does cannibalism really have adverse side effects or is that just something people say?
2792	hi all. i have seen it stated as fact by those who don't believe in man made climate change that more damage is done by the explosion of one volcano than by all the harmful chemicals released by china in an entire year. is this myth?
2793	is it possible to create a "rainbow" with something other than water? if so what would it look like?
2794	why do sloths move so lethargically?
2795	if you know the algorithm used to compress a video file, could you recreate the original video?
2796	are toxins released in the body during massage?
2797	do i still get vitamin d benefits from being outside on a cloudy day?
2798	would rain droplets on a lower gravity planet be larger, on average, compared to our own planet?
2799	if the colorado river carved the grand canyon, is the mississippi river doing the same?
2800	how where auroras explained before eugene parker's theory of solar winds?
2801	how far underwater, do the effects of a storm extend?
2802	how important are wasps to their ecosystems and what would be the impact if they were not there?
2803	how do doctors stop internal bleeding?
2804	what would large quantities of protons, neutrons, and/or electrons look like?
2805	is there an example of a mathematical problem that is easy to understand, easy to believe in it's truth, yet impossible to prove through our current mathematical axioms?
2806	was there ever a time in the history of the earth where if an intelligent civilization had arisen and self-destructed, we would now see no evidence in the fossil record?
2807	why do biologists always refer to mitochondrial dna in reports on evolution and cladistics as opposed to the dna found in the nucleus?
2808	what makes paper fresh from the copier hot? why don't inkjet printers produce the same amount of heat as copiers do?
2809	is there a limit to the amplitude of sound waves?
2810	do people with over-active immune conditions (like allergies, asthma, or ibd) actually have immune systems that fight off normal infections better, due to their hyper-vigilance?
2811	if it's true that under a certain depth of water blood appears green, why is that?
2812	why is 2^1023 the last power of 2 that both excel and google calculator can calculate?
2813	what happens when an atom of anti-matter hits a regular atom of a much heavier element?
2814	will there be any effect if my body were subjected to extreme magnetic forces - something like upwards to 100 teslas?
2815	when our sun enters the red giant phase in five billion years, terminating all life on earth, is there reason to believe that the human race will still be here?
2816	if i take an ant (or a few) and move it 5,000 miles from its colony, what does it do?
2817	when i viciously rip a leaf off of a tree during spring months such as april, what exactly happens to the tree?
2818	what is the 'clock speed' of the universe?
2819	most corrosive acid and base known?
2820	based on ongoing experiments, how far away are we from nuclear fusion power?
2821	exponentiation approaching multiplication?
2822	the ashes and bones of philip ii of macedon was confirmed today. how do you confirm the identity of a 2300 year old cremated body?
2823	when i yank out a lone white hair, will its replacement always be white?
2824	what would the horizon look like if you were standing on an infinitely stretching and perfectly flat plane?
2825	why do bodies turn white in salt water?
2826	an injured caterpillar pupates. will the butterfly be injured?
2827	if a caterpillar had a body part injured, such as it's eyes, would it be able to regain function when it becomes a butterfly?
2828	do animals in the wild get stds?
2829	what happens to the blood vessels that run through our limbs when we bend or twist a joint on those limbs?
2830	why do doctors bother with painkillers like oxycodon, etc, that barely differ from morphine?
2831	is it possible to create 100% vacuum?
2832	if the first law of thermodynamics states energy can't be created or destroyed in the universe, how do we explain the big rip hypothesis? where will all that energy go?
2833	at what point does a liquid become so viscous that it's considered a solid?
2834	does flexing the abdominal/pelvic floor muscles while urinating cause the detrusor muscle to weaken over time?
2835	how different, if at all, are modern humans from those living before the black death?
2836	if i gain 10 lbs of fat, lose it, and then gain 10 lbs again, am i "refilling" those same fat cells before creating new ones?
2837	could a tree grow in zero-g? if so what would it look like?
2838	how do we know the mass of a galaxy?
2839	when and what made humans realize that light speed isn't instant?
2840	how can animals emerge from months long hibernation and run about without any signs of muscle degeneration?
2841	when charging my metal ipod and brushing my fingers lightly against the metal back of it, it feels slightly tacky, almost like my fingertips are buzzing, or gliding over dust. if i unplug it, this goes away. i assume i am completing a tiny circuit somehow, but why does the metal feel different?
2842	would it be possible to adjust your computer's or your tv's picture settings to match your eye prescription?
2843	why don't we use freezing to desalinate water?
2844	what's the implication of the mass of a proton?
2845	which element on the periodic table wouldn't kill me if i drank it in liquid form?
2846	would it be possible to transfer the rotational momentum of the earth into usable energy?
2847	if we are all star dust and all of the atoms in my body are from supernovas then does that mean i have always existed and atoms that already existed were just clumped together during birth to make "me"?
2848	is there a triple-point with plasma? normally it is with solid, liquid, and gas, but is there one with, say, liquid, gas, and plasma?
2849	do we need to invent a new math, like newton did with calculus, to unite quantum mechanics and general relativity?
2850	where did the menstrual cycle originate, and why hasn't it evolved to be more efficient?
2851	is it actually good for your phone and laptop battery die once a month?
2852	is surgery harder on a more athletic person?
2853	if we cloned a dinosaur today would it die quickly due to the lower oxygen content in the air today?
2854	is there a reason why the more dangerous frequencies (uv, x-ray, gamma) and the "harmless" frequencies (radio, ir) on the em spectrum are separated by the visible wavelengths?
2855	can the body naturally clean fat from arteries?
2856	when an animal is eaten whole, how does it actually die? suffocation? digestive acid?
2857	am i breeding super bacteria in my kitchen sink? if not, why?
2858	if our fingers are operated by tendons in our forearms, why is it hard to move your fingers when they get cold?
2859	if one were to place a grain of sand around a bowling-ball sized uranium sphere free floating in space, would the grain of sand orbit the uranium ball?
2860	how does your stomach know when to stop digesting food and move it into the small intestine?
2861	why are the pores on the face so much larger than anywhere else on the body?
2862	i’ve heard that the ratio in size between the human body and the smallest subatomic particle is equal to the ratio in size between the size of the known universe and the human body. is this true?
2863	how does the candle relighting trick work? the one where you light the smoke trail?
2864	what would you see in the middle of a ring of mirrors?
2865	how far can you scale up a candle...?
2866	which theory about the end of the universe is most likely to happen?
2867	with all the water pressure on top of it, how is the ocean floor not extremely compact?
2868	what gives neural networks an advantage over other machine learning solutions?
2869	what level of culture did neanderthals have?
2870	what are the oldest species that we could (in theory) bring back from extinction, given the half-life of dna?
2871	super cold refrigeration...how do they do it?
2872	what is the point of correlation studies if correlation does not equal causation?
2873	how do mathematicians imagine higher dimensional space?
2874	is it possible to determine the location at which a photo was taken based on the moon's position in the sky?
2875	how has our knowledge of dinosaurs changed between when jurassic park was released and now?
2876	what's the coldest flames can be?
2877	we've all heard stories about people acting drunk after unknowingly being served non-alcoholic beer, but could this placebo effect potentially impair one's ability to operate a vehicle?
2878	is breast size determined more by genetic factors or environmental factors?
2879	how would inserting a floating balloon into the atmosphere of a planet from space be technically different from landing a craft on the rocky surface of a planet from space?
2880	how do firefighters put out fire on top floors of skyscrapers?
2881	how much, if at all, is the surface of the earth warmed by its own core?
2882	what is the greatest unexplained astronomical phenomenon in our solar system?
2883	how long can a person live in outer space unprotected?
2884	how do we produce radio waves? do we "make" them and use them, or do we harness the waves around us and use them for our own purposes?
2885	why do microwave ovens and wireless routers operate on the same frequencyrange (~2.4ghz)?
2886	the surface temperature of the sun is listed as 5778k. how much does it fluctuate over time? what are the known high and lows?
2887	so, if lenses work by bending light, and gravity can also bend light, could a gravitational lense be possible?
2888	could someone explain why gravity doesnt fit in with other areas of physics for a unified field theory?
2889	does light travel forever?
2890	the mars rover found that martian soil is composed of about 2% water. how significant is this number? what about compared to the sahara? what else should we expect after finding this water on mars?
2891	what is the easiest (most "basic" structured) language on earth?
2892	how safe can monosodium glutamate actually be if it's an excitotoxin?
2893	if i stand on an asteroid hurling through space, will i fall off or move with it?
2894	if we sweat to carry heat away from the body, why do we sweat most in our armpits, mostly away from circulating air?
2895	why did sea animals such as the great white shark survive, while other creatures such as the megalodon and kronosaurus die out with the rest of the dinosaurs?
2896	is time quantized?
2897	if i continuously shot charged particles into a black hole, what would happen over time with the buildup of charge?
2898	what is dust? why is it, no matter how much i clean, just as much (or more) reappears by the following day?
2899	could a person live normally only by sleeping small periods of time like 15 minutes if done correctly?
2900	a property of metals is that they conduct heat. if that is the case, why do they feel cold at room temperature?
2901	has science yet determined how lobsters and similar organisms achieve biological immortality?
2902	is there any meaning to the phrase "twice as hot" or "twice as cold" as 0 degrees?
2903	every day i heat 1 cup of water in the microwave for 2m 10s. some days it gently boils in the microwave. other days the water remains still and then boils violently the moment i insert a kitchen thermometer. why?
2904	does anyone know how long it will be until we lose contact with the voyager space probe?
2905	if you made a stealth airplane with a radar signature that is smaller than the wavelength of the radar searching for it, would it be effectively undetectable completely?
2906	compressing water in an sealed tube?
2907	what would weather patterns on an ocean planet be like?
2908	do sealed, airtight goods generally appear more inflated in denver than (say) miami because of the difference in pressure, or is the effect too small to notice?
2909	why do the angles in a triangle add to 180 degrees, but if you walk the lines of a triangle you would turn 360 degrees?
2910	why is it when a speck of something gets on my glasses (dandruff, dust, etc), blowing on it, no matter how hard, doesn't dislodge it from the presumably smooth surface?
2911	does it really matter which sperm cell reached the egg during conception?
2912	what's the difference between sleeping for 6 hours and lying in bed with your eyes closed for 6 hours?
2913	did i detect cosmic rays in the stratosphere with my camera?
2914	do imaginary numbers have uses in the real world?
2915	why doesn't light kill us?
2916	why isn't it possible to speed up the rate of radioactive decay?
2917	what happens to a colony-based insect, such as an ant or termite, when it's been separated from the queen for too long? does it start to "think" for itself now that it doesn't follow orders anymore?
2918	how do colliders aim atoms so that they actually hit each other?
2919	can a satellite, with a gps receiver, determine its position using the gps? basically, can the global positioning system be used in space?
2920	what is the limiting factor in human eyesight?
2921	why do small objects stick to our fingers when we push down on them?
2922	does porn consumption have negative consequences?
2923	a friend of mine doesn't recycle because (he claims) it takes more energy to recycle and thus is more harmful to the environment than the harm in simply throwing recyclables, e.g. glass bottles, in the trash, and recycling is largely tokenism capitalized. is this true???
2924	after recently watching a kurzgesagt video about bringing a piece of the sun to earth: are fusion reactors truly safe when they fail?
2925	is there only one series of events the universe can follow?
2926	would it be possible to kill a star with the technology we currently have?
2927	why do very few high order derivatives not show up very often in equations of motion?
2928	if i jumped on the moon with the same force as i use when i jump on earth, would i hit the ground just as hard?
2929	why did the chernobyl nuclear power plant disaster happen, in terms of the physical processes, and what did nucleate boiling have to do with it?
2930	do the 2000+ nuclear explosions since 1945 harm/affect us today?
2931	why does cyrillic share many letters with the latin alphabet, and yet letters with the same shape sound different from western languages?
2932	why do we like a "type" of girl/guy?
2933	animals, e.g. (wild) cats, have loads of anonymous sex and know nothing about protection or medicine. why aren't they decimated by cat aids?
2934	with how many drops of water could you mix a single drop of blood and still be able to determine the dna of the blood sample?
2935	am i using muscles to keep my eyelids open or to keep them closed or both?
2936	how does a vending machines verify a dollar bill vs. counterfeit?
2937	i don't understand "nuclear radiation". how does it work and what separates it from other forms of matter/elements in our world that seem to make it so much more dangerous?
2938	to what extent, if any, is finished concrete such as that found in most urban structures reuseable and recyclable?
2939	what's cern doing now that they found the higgs boson?
2940	why can't we handle division by zero the same way we handle the square root of -1?
2941	without self-referencing, is it possible to explain why 1+1=2?
2942	why do bees not see the glass?
2943	do all organisms evolve at the same generational rate? for example, would bacteria mutate more in 50 generations than humans would in 50 generations? would they mutate the same amount, or even less than humans did?
2944	didn't the person who wrote world's first compiler have to, well, compile it somehow?did he compile it at all, and if he did, how did he do that?
2945	my son asked, why does glass break so easily but it takes a lot of heat to melt it?
2946	if an ant scout doesn't return to their nest, do other ants go searching for him or do they not notice he's gone because of how many ants are in the colony?
2947	how effective is snoozing our alarms in the morning? does it make us more awake?
2948	how do scientists make sure that the light they are getting is from that particular heavenly body and not a nearby star, like the sun?
2949	what time is it at the earth's poles?
2950	is the form of a galaxy influenced by the black hole in its middle?
2951	if we connect a pipe from ocean to a desert and keep pumping sea waters into desert, would it become forest?
2952	am i more genetically similar to my mother or my sister?
2953	why do certain chemicals cause different individuals to experience similar complex thoughts/hallucinations? where is the information coming from?
2954	how do ants and bees deal with their dead?
2955	what happens if you are given the wrong blood type?
2956	can someone explain to me why orbits look like this when shown in a diagram?
2957	if light requires time to travel, then is everything that we see actually the past?
2958	if i orally took a morphine tablet, what happens from when the pill lands in my stomach to make the it start relieving my pain/generating a pleasant feeling? why is it more effective (and often preferred) to use the intravenous method?
2959	if you had a completely empty universe, in which only 2 marbles, placed perfectly still in the beginning, with 1 ly distance in between them, how long would it take for them to collide due to gravity?
2960	is there a planet in the 'habitable zone' close enough such that we could see it emitting artificial light?
2961	if a knife was perfectly sharp, could it cut anything?
2962	can high amount of concentrated electromagnetic waves warp space like gravity does?
2963	is "catching up on sleep" after a few short nights of sleep healthy?
2964	why there have not been major breakthroughs in the dental field in decades? why the teeth are still being drilled like 50 years ago?
2965	do "photonic booms" happen?
2966	are stretch marks permanent?
2967	if a space ship were to have a cloth banner, a flag, on the outside, while in motion, would it "flap in the wind" or remain perfectly straight?
2968	how do i calculate probability of a probability distribution?
2969	iron smelting requires extremely high temperatures for an extended period before you get any results; how was it discovered?
2970	at the source, how big were the gravitational waves/ripples in spacetime created by the black hole merger we witnessed?
2971	could the universe be full of intelligent life but the closest civilization to us is just too far away to see?
2972	how come sometimes when i glance at a clock, time seems to stop for a split second?
2973	if you were free falling towards the earth and shot a handgun in front of you what would happen?
2974	when lightning hits a large body of water, how far does the electricity actually travel?
2975	what exactly happens during the placebo effect?
2976	all dna in my body instantly disappears. how long do i have to live?
2977	why isn't the human body comfortable at 98.6 degrees if that's our internal temperature?
2978	why are women (or why are women perceived to be) generally more emotionally reactive to things?
2979	how long would it take to run out of nuclear fuel if tomorrow the world switched to nuclear power?
2980	do animals get pleasure out of mating and reproducing like humans do?
2981	what happens if i, in weightlessness, heat a bucket of water, will diffusion "mix" the water or will there exist a sharp temperature gradient in the water resulting in boiling water at the bottom and cooler water on top?
2982	an escalator moves at the same speed whether it's empty or has a lot of people on it. how does the motor "know" to change its power output?
2983	why do commercial jets have rounded noses?
2984	why does the us both import and export oil, and specifically it both imports and exports oil from mexico?
2985	what do roach sprays and barrier sprays actually do to roaches to kill them?
2986	when pangea broke apart, was it noticeable? if a human being was living during that time, would they have heard a crack or felt an earthquake? or over 100 years would they have noticed that a river got a little wider?
2987	why is it so hard to shoot icbm's out of the sky?
2988	how does radiation from the sun compares to radiation from a wi-fi router?
2989	when a balloon pops, what causes the bang sound?
2990	why do we have two of certain organs while only one of certain others? what would an evolutionary reason to reject two hearts to one lung or one kidney to two livers for example be?
2991	what is a steel foundry cauldron made of, why does it not melt at high temperatures?
2992	what happens to air that escapes the iss?
2993	how are underwater tunnels built? (such as the one from copenhagen to malmö) additionally, what steps and precautions are taken to ensure it will not flood both during and after construction?
2994	if all mosquitoes vanished form the face of the earth, how badly would the world food chains collapse?
2995	if i were floating in deep space, between our sun and the nearest star, would i be able to see my hand in front of my face without artificial light?
2996	when we drain oil from wells. does it make a empty pocket?
2997	how do we know the chemical composition of the earth's core?
2998	is there a maximum size for a raindrop?
2999	what physical differences can we detect between people that are well rested, running on little sleep, and running on no sleep?
3000	why does hiv spread only via some body fluids? i.e. why does it spread via blood and breast milk but not via saliva and tears?
3001	does the human eye have a quantifiable image resolution?
3002	if a bird loses some feathers from only one wing, does it pull out some on the other wing to balance out the lift generated?
3003	in as simple a way as possible, how are we able to tell the elementary make up of a planet using only a telescope?
3004	how can a bolt from a crossbow have a higher penetration power but less range than an arrow from a bow?
3005	if a pipeline is developed to pump sea water into the desert, would that create a natural precipitation system and irrigate the surrounding land?
3006	how do hackers make the jump from discovering a vulnerability to having access to or control of a remote server?
3007	can polar and nonpolar molecules ever mix?
3008	what's the best thing to do if you're going to be hit by a car?
3009	if a human was thrown out into space, what would kill him first? low pressure, low temperature, or lack of oxygen?
3010	do imaginary numbers have any practical applications?
3011	why do some ph meters go from -2 to 16? i thought ph only went from 1-14?
3012	when this lava is moving along the surface, what is it doing to the underlying soil and rock. partially melting them? is it more of a layering that is going to just erode back to the bedrock, which i suppose is just old magma? any volcanologists or geologists out there?
3013	how do spiders know to avoid my finger?
3014	did all neutrons arise from the big bang?
3015	why do we talk & act like we're drunk when we become exhausted?
3016	why are there no hi-res images of the north or south poles?
3017	is it possible that creatures such as megalodon still exist in the deep sea?
3018	how do psychologists distinguish between a patient who suffers from body dysmorphic disorder and someone who is simply depressed from being unattractive?
3019	have we taken flying insects into space? do they fly any differently?
3020	is it possible that dark matter is nearby? if there were some dark matter in my living room, how would i know?
3021	how did the "right side up" view of the earth, aka north = up, become the norm for all globes and maps?
3022	are there other studies on the efficacy of tdap vaccines given to mothers during pregnancy for the protection of a newborn or is this the only one?
3023	why is the c drive called "c:/" and not "a:/"?
3024	how does jupiter "protect" us from stellar debris?
3025	how does the large hadron collider work?
3026	how can a potential "planet x" go undiscovered for so long within our own solar system?
3027	what would happen if the poles switched?
3028	why are triangles the strongest shape?
3029	does the size of an object passing through the sound barrier have an effect on the force of the shock wave?
3030	why do bombers make immediate 90 degree turns after releasing a nuclear weapon for detonation?
3031	if electricity can go 50-70%of the speed of light, is there some way we can use elcetricity for space travel?
3032	why are there shadows in electron microscopy? how are they different from shadows due to the absence of light?
3033	what is nasa hoping to learn from sending a probe to the sun?
3034	why does seafood go bad so quickly?
3035	how do astronauts safely clean the iss? (crumbs, hair, dust, sneezes, grease, etc) can these things become dangerous?
